{'dataset_root': './Food-11', 'save_dir': './outputs', 'exp_name': 'medium_baseline_deeper_cont', 'batch_size': 512, 'lr': 0.0001, 'seed': 20220013, 'loss_fn_type': 'KD', 'weight_decay': 1e-05, 'grad_norm_max': 10, 'n_epochs': 3000, 'patience': 300, 'resume': 'medium_baseline_deeper'}
device: cuda
[ Train | 001/3000 ] loss = 0.61653, acc = 0.77264
[ Valid | 001/3000 ] loss = 0.57750, acc = 0.80889 -> best
Best model found at epoch 1, saving model
[ Train | 002/3000 ] loss = 0.60956, acc = 0.77394
[ Valid | 002/3000 ] loss = 0.58031, acc = 0.80799
[ Train | 003/3000 ] loss = 0.61233, acc = 0.77324
[ Valid | 003/3000 ] loss = 0.57831, acc = 0.80821
[ Train | 004/3000 ] loss = 0.61851, acc = 0.77344
[ Valid | 004/3000 ] loss = 0.57436, acc = 0.81069 -> best
Best model found at epoch 4, saving model
[ Train | 005/3000 ] loss = 0.59916, acc = 0.78535
[ Valid | 005/3000 ] loss = 0.59162, acc = 0.80528
[ Train | 006/3000 ] loss = 0.59194, acc = 0.78415
[ Valid | 006/3000 ] loss = 0.56542, acc = 0.81250 -> best
Best model found at epoch 6, saving model
[ Train | 007/3000 ] loss = 0.61494, acc = 0.77304
[ Valid | 007/3000 ] loss = 0.56933, acc = 0.81476 -> best
Best model found at epoch 7, saving model
[ Train | 008/3000 ] loss = 0.61490, acc = 0.76764
[ Valid | 008/3000 ] loss = 0.57383, acc = 0.81002
[ Train | 009/3000 ] loss = 0.60816, acc = 0.77624
[ Valid | 009/3000 ] loss = 0.57734, acc = 0.80731
[ Train | 010/3000 ] loss = 0.60196, acc = 0.78315
[ Valid | 010/3000 ] loss = 0.57399, acc = 0.81498 -> best
Best model found at epoch 10, saving model
[ Train | 011/3000 ] loss = 0.62600, acc = 0.76984
[ Valid | 011/3000 ] loss = 0.57791, acc = 0.80708
[ Train | 012/3000 ] loss = 0.60053, acc = 0.78235
[ Valid | 012/3000 ] loss = 0.56619, acc = 0.81160
[ Train | 013/3000 ] loss = 0.59599, acc = 0.77714
[ Valid | 013/3000 ] loss = 0.58591, acc = 0.80731
[ Train | 014/3000 ] loss = 0.61284, acc = 0.77354
[ Valid | 014/3000 ] loss = 0.57652, acc = 0.80866
[ Train | 015/3000 ] loss = 0.60610, acc = 0.77624
[ Valid | 015/3000 ] loss = 0.56795, acc = 0.81092
[ Train | 016/3000 ] loss = 0.59677, acc = 0.78065
[ Valid | 016/3000 ] loss = 0.58086, acc = 0.80866
[ Train | 017/3000 ] loss = 0.60612, acc = 0.77915
[ Valid | 017/3000 ] loss = 0.56936, acc = 0.81160
[ Train | 018/3000 ] loss = 0.60645, acc = 0.77674
[ Valid | 018/3000 ] loss = 0.57094, acc = 0.81024
[ Train | 019/3000 ] loss = 0.60687, acc = 0.77664
[ Valid | 019/3000 ] loss = 0.58297, acc = 0.80393
[ Train | 020/3000 ] loss = 0.61800, acc = 0.77594
[ Valid | 020/3000 ] loss = 0.58614, acc = 0.80528
[ Train | 021/3000 ] loss = 0.60178, acc = 0.77925
[ Valid | 021/3000 ] loss = 0.57038, acc = 0.81115
[ Train | 022/3000 ] loss = 0.60420, acc = 0.77654
[ Valid | 022/3000 ] loss = 0.57889, acc = 0.80731
[ Train | 023/3000 ] loss = 0.59685, acc = 0.77895
[ Valid | 023/3000 ] loss = 0.57675, acc = 0.80799
[ Train | 024/3000 ] loss = 0.60508, acc = 0.77664
[ Valid | 024/3000 ] loss = 0.57406, acc = 0.80844
[ Train | 025/3000 ] loss = 0.59498, acc = 0.78165
[ Valid | 025/3000 ] loss = 0.57165, acc = 0.81205
[ Train | 026/3000 ] loss = 0.61452, acc = 0.77494
[ Valid | 026/3000 ] loss = 0.59929, acc = 0.79964
[ Train | 027/3000 ] loss = 0.59948, acc = 0.78105
[ Valid | 027/3000 ] loss = 0.58631, acc = 0.80731
[ Train | 028/3000 ] loss = 0.59748, acc = 0.78155
[ Valid | 028/3000 ] loss = 0.57334, acc = 0.81363
[ Train | 029/3000 ] loss = 0.61054, acc = 0.77754
[ Valid | 029/3000 ] loss = 0.56826, acc = 0.81543 -> best
Best model found at epoch 29, saving model
[ Train | 030/3000 ] loss = 0.60787, acc = 0.77524
[ Valid | 030/3000 ] loss = 0.57264, acc = 0.81024
[ Train | 031/3000 ] loss = 0.60009, acc = 0.77935
[ Valid | 031/3000 ] loss = 0.56730, acc = 0.81566 -> best
Best model found at epoch 31, saving model
[ Train | 032/3000 ] loss = 0.60014, acc = 0.78255
[ Valid | 032/3000 ] loss = 0.57481, acc = 0.81137
[ Train | 033/3000 ] loss = 0.60979, acc = 0.77774
[ Valid | 033/3000 ] loss = 0.57646, acc = 0.80573
[ Train | 034/3000 ] loss = 0.59439, acc = 0.78165
[ Valid | 034/3000 ] loss = 0.57298, acc = 0.80912
[ Train | 035/3000 ] loss = 0.60540, acc = 0.78085
[ Valid | 035/3000 ] loss = 0.56845, acc = 0.81250
[ Train | 036/3000 ] loss = 0.60081, acc = 0.77474
[ Valid | 036/3000 ] loss = 0.56963, acc = 0.81069
[ Train | 037/3000 ] loss = 0.59936, acc = 0.77975
[ Valid | 037/3000 ] loss = 0.57212, acc = 0.81476
[ Train | 038/3000 ] loss = 0.60075, acc = 0.78305
[ Valid | 038/3000 ] loss = 0.56763, acc = 0.81498
[ Train | 039/3000 ] loss = 0.59985, acc = 0.77834
[ Valid | 039/3000 ] loss = 0.57079, acc = 0.81092
[ Train | 040/3000 ] loss = 0.59395, acc = 0.78125
[ Valid | 040/3000 ] loss = 0.56806, acc = 0.81250
[ Train | 041/3000 ] loss = 0.59563, acc = 0.78165
[ Valid | 041/3000 ] loss = 0.56508, acc = 0.81318
[ Train | 042/3000 ] loss = 0.59937, acc = 0.77955
[ Valid | 042/3000 ] loss = 0.57048, acc = 0.81273
[ Train | 043/3000 ] loss = 0.59717, acc = 0.78135
[ Valid | 043/3000 ] loss = 0.57105, acc = 0.81047
[ Train | 044/3000 ] loss = 0.60620, acc = 0.77905
[ Valid | 044/3000 ] loss = 0.56529, acc = 0.81588 -> best
Best model found at epoch 44, saving model
[ Train | 045/3000 ] loss = 0.60257, acc = 0.77935
[ Valid | 045/3000 ] loss = 0.56839, acc = 0.81115
[ Train | 046/3000 ] loss = 0.59796, acc = 0.78155
[ Valid | 046/3000 ] loss = 0.56545, acc = 0.81701 -> best
Best model found at epoch 46, saving model
[ Train | 047/3000 ] loss = 0.59700, acc = 0.78455
[ Valid | 047/3000 ] loss = 0.57064, acc = 0.81182
[ Train | 048/3000 ] loss = 0.60136, acc = 0.77955
[ Valid | 048/3000 ] loss = 0.57057, acc = 0.81069
[ Train | 049/3000 ] loss = 0.59709, acc = 0.78595
[ Valid | 049/3000 ] loss = 0.56531, acc = 0.81160
[ Train | 050/3000 ] loss = 0.60132, acc = 0.78255
[ Valid | 050/3000 ] loss = 0.56885, acc = 0.81137
[ Train | 051/3000 ] loss = 0.58855, acc = 0.77844
[ Valid | 051/3000 ] loss = 0.56788, acc = 0.81408
[ Train | 052/3000 ] loss = 0.59962, acc = 0.78035
[ Valid | 052/3000 ] loss = 0.57100, acc = 0.80979
[ Train | 053/3000 ] loss = 0.59701, acc = 0.78245
[ Valid | 053/3000 ] loss = 0.56742, acc = 0.81024
[ Train | 054/3000 ] loss = 0.60864, acc = 0.77995
[ Valid | 054/3000 ] loss = 0.56414, acc = 0.80979
[ Train | 055/3000 ] loss = 0.60465, acc = 0.77784
[ Valid | 055/3000 ] loss = 0.56463, acc = 0.81227
[ Train | 056/3000 ] loss = 0.59400, acc = 0.78395
[ Valid | 056/3000 ] loss = 0.56387, acc = 0.81340
[ Train | 057/3000 ] loss = 0.59837, acc = 0.77704
[ Valid | 057/3000 ] loss = 0.57559, acc = 0.80708
[ Train | 058/3000 ] loss = 0.59224, acc = 0.78235
[ Valid | 058/3000 ] loss = 0.56930, acc = 0.81521
[ Train | 059/3000 ] loss = 0.59870, acc = 0.78315
[ Valid | 059/3000 ] loss = 0.57494, acc = 0.80934
[ Train | 060/3000 ] loss = 0.60207, acc = 0.77594
[ Valid | 060/3000 ] loss = 0.56599, acc = 0.81431
[ Train | 061/3000 ] loss = 0.60368, acc = 0.77935
[ Valid | 061/3000 ] loss = 0.56528, acc = 0.81227
[ Train | 062/3000 ] loss = 0.60666, acc = 0.77364
[ Valid | 062/3000 ] loss = 0.56917, acc = 0.80866
[ Train | 063/3000 ] loss = 0.59529, acc = 0.77875
[ Valid | 063/3000 ] loss = 0.56535, acc = 0.81431
[ Train | 064/3000 ] loss = 0.59902, acc = 0.78105
[ Valid | 064/3000 ] loss = 0.56053, acc = 0.81588
[ Train | 065/3000 ] loss = 0.59629, acc = 0.78175
[ Valid | 065/3000 ] loss = 0.56517, acc = 0.81069
[ Train | 066/3000 ] loss = 0.60501, acc = 0.78085
[ Valid | 066/3000 ] loss = 0.57520, acc = 0.80934
[ Train | 067/3000 ] loss = 0.60017, acc = 0.78205
[ Valid | 067/3000 ] loss = 0.56870, acc = 0.81024
[ Train | 068/3000 ] loss = 0.60114, acc = 0.78025
[ Valid | 068/3000 ] loss = 0.56280, acc = 0.81701
[ Train | 069/3000 ] loss = 0.60128, acc = 0.77935
[ Valid | 069/3000 ] loss = 0.57041, acc = 0.80866
[ Train | 070/3000 ] loss = 0.60264, acc = 0.78635
[ Valid | 070/3000 ] loss = 0.56668, acc = 0.81092
[ Train | 071/3000 ] loss = 0.60383, acc = 0.77594
[ Valid | 071/3000 ] loss = 0.56235, acc = 0.81498
[ Train | 072/3000 ] loss = 0.59979, acc = 0.77714
[ Valid | 072/3000 ] loss = 0.56083, acc = 0.81746 -> best
Best model found at epoch 72, saving model
[ Train | 073/3000 ] loss = 0.59730, acc = 0.78435
[ Valid | 073/3000 ] loss = 0.56516, acc = 0.81250
[ Train | 074/3000 ] loss = 0.59907, acc = 0.78215
[ Valid | 074/3000 ] loss = 0.56786, acc = 0.81182
[ Train | 075/3000 ] loss = 0.60069, acc = 0.77814
